# JMH version: 1.27
# VM version: JDK 11.0.9, OpenJDK 64-Bit Server VM, 11.0.9+10-jvmci-20.3-b06
# VM invoker: /home/user/Downloads/graalvm-ce-java11-20.3.0/bin/java
# VM options: -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCIProduct -XX:-UnlockExperimentalVMOptions -XX:ThreadPriorityPolicy=1
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
Log1pBenchmark.math                  100000  thrpt   10       284.661 ±     0.765  ops/s
Log1pBenchmark.math                 1000000  thrpt   10        28.288 ±     0.059  ops/s
Log1pBenchmark.math                10000000  thrpt   10         2.826 ±     0.006  ops/s
Log1pBenchmark.viktor                   100  thrpt   10   1773222.607 ±  3424.404  ops/s
Log1pBenchmark.viktor                  1000  thrpt   10    235049.456 ±  1290.412  ops/s
Log1pBenchmark.viktor                 10000  thrpt   10     24781.735 ±   147.509  ops/s
Log1pBenchmark.viktor                100000  thrpt   10      2488.379 ±     9.232  ops/s
Log1pBenchmark.viktor               1000000  thrpt   10       239.116 ±     0.690  ops/s
Log1pBenchmark.viktor              10000000  thrpt   10        23.998 ±     0.064  ops/s
LogAddExpBenchmark.fastMath             100  thrpt   10    174928.706 ±   655.609  ops/s
LogAddExpBenchmark.fastMath            1000  thrpt   10     17488.770 ±    78.866  ops/s
LogAddExpBenchmark.fastMath           10000  thrpt   10      1718.544 ±    96.968  ops/s
LogAddExpBenchmark.fastMath          100000  thrpt   10       159.285 ±     0.161  ops/s
LogAddExpBenchmark.fastMath         1000000  thrpt   10        15.818 ±     0.041  ops/s
LogAddExpBenchmark.fastMath        10000000  thrpt   10         1.539 ±     0.009  ops/s
LogAddExpBenchmark.kmath                100  thrpt   10    433785.400 ±   939.462  ops/s
LogAddExpBenchmark.kmath               1000  thrpt   10     45927.702 ±    73.417  ops/s
LogAddExpBenchmark.kmath              10000  thrpt   10      4562.819 ±    13.353  ops/s
LogAddExpBenchmark.kmath             100000  thrpt   10       456.502 ±     2.764  ops/s
LogAddExpBenchmark.kmath            1000000  thrpt   10        43.452 ±     0.164  ops/s
LogAddExpBenchmark.kmath           10000000  thrpt   10         4.313 ±     0.012  ops/s
LogAddExpBenchmark.math                 100  thrpt   10    335636.953 ±  1336.321  ops/s
LogAddExpBenchmark.math                1000  thrpt   10     33739.166 ±    71.639  ops/s
LogAddExpBenchmark.math               10000  thrpt   10      2976.880 ±    11.404  ops/s
LogAddExpBenchmark.math              100000  thrpt   10       337.522 ±     0.779  ops/s
LogAddExpBenchmark.math             1000000  thrpt   10        33.241 ±     0.068  ops/s
