# JMH version: 1.27
# VM version: JDK 15.0.1, Java HotSpot(TM) 64-Bit Server VM, 15.0.1+9-18
# VM invoker: /home/user/Downloads/jdk-15.0.1/bin/java
# VM options: <none>
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
Log1pBenchmark.math                     100  thrpt   10    286469.246 ±   335.407  ops/s
Log1pBenchmark.math                    1000  thrpt   10     29323.800 ±    75.172  ops/s
Log1pBenchmark.math                   10000  thrpt   10      2849.981 ±     5.548  ops/s
Log1pBenchmark.math                  100000  thrpt   10       291.362 ±     1.380  ops/s
Log1pBenchmark.math                 1000000  thrpt   10        27.718 ±     1.310  ops/s
Log1pBenchmark.math                10000000  thrpt   10         2.891 ±     0.009  ops/s
Log1pBenchmark.viktor                   100  thrpt   10   1701127.830 ±  2836.705  ops/s
Log1pBenchmark.viktor                  1000  thrpt   10    233766.620 ±   412.493  ops/s
Log1pBenchmark.viktor                 10000  thrpt   10     24921.028 ±    59.001  ops/s
Log1pBenchmark.viktor                100000  thrpt   10      2508.006 ±     6.251  ops/s
Log1pBenchmark.viktor               1000000  thrpt   10       180.436 ±    35.926  ops/s
Log1pBenchmark.viktor              10000000  thrpt   10        18.192 ±     4.359  ops/s
LogAddExpBenchmark.fastMath             100  thrpt   10    180023.975 ±  1665.074  ops/s
LogAddExpBenchmark.fastMath            1000  thrpt   10     18565.036 ±    56.641  ops/s
LogAddExpBenchmark.fastMath           10000  thrpt   10      1855.883 ±     7.254  ops/s
LogAddExpBenchmark.fastMath          100000  thrpt   10       180.167 ±     0.361  ops/s
LogAddExpBenchmark.fastMath         1000000  thrpt   10        18.165 ±     0.037  ops/s
LogAddExpBenchmark.fastMath        10000000  thrpt   10         1.848 ±     0.003  ops/s
LogAddExpBenchmark.kmath                100  thrpt   10    425258.984 ±   591.914  ops/s
LogAddExpBenchmark.kmath               1000  thrpt   10     42810.799 ±    87.492  ops/s
LogAddExpBenchmark.kmath              10000  thrpt   10      4516.392 ±    10.345  ops/s
LogAddExpBenchmark.kmath             100000  thrpt   10       446.699 ±     2.108  ops/s
LogAddExpBenchmark.kmath            1000000  thrpt   10        33.059 ±     6.655  ops/s
LogAddExpBenchmark.kmath           10000000  thrpt   10         3.798 ±     0.008  ops/s
LogAddExpBenchmark.math                 100  thrpt   10    329638.943 ±   415.177  ops/s
LogAddExpBenchmark.math                1000  thrpt   10     32922.838 ±    56.592  ops/s
LogAddExpBenchmark.math               10000  thrpt   10      3297.561 ±     5.578  ops/s
LogAddExpBenchmark.math              100000  thrpt   10       331.324 ±     0.473  ops/s
LogAddExpBenchmark.math             1000000  thrpt   10        31.045 ±     1.597  ops/s
LogAddExpBenchmark.math            10000000  thrpt   10         3.257 ±     0.002  ops/s
LogAddExpBenchmark.multik               100  thrpt   10    250754.285 ±   283.502  ops/s
LogAddExpBenchmark.multik              1000  thrpt   10     30171.316 ±    37.026  ops/s
LogAddExpBenchmark.multik             10000  thrpt   10      3150.120 ±    10.439  ops/s
LogAddExpBenchmark.multik            100000  thrpt   10       320.780 ±     1.022  ops/s
LogAddExpBenchmark.multik           1000000  thrpt   10        27.104 ±     4.741  ops/s
LogAddExpBenchmark.multik          10000000  thrpt   10         3.071 ±     0.017  ops/s
LogAddExpBenchmark.viktor               100  thrpt   10    682760.798 ±   549.596  ops/s
LogAddExpBenchmark.viktor              1000  thrpt   10     84281.423 ±   257.796  ops/s
